country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Finland,2.19065362521346,1.08855836283254,0.791236215713251,0.629198126572972,1.19255646009493,1.39947131083817,1.16223698334931,3.04209645754528,2.57844076836537,1.57122082395661,0.877438551306574,0.187123374563893,0.623871195822717,1.56666666666667,2.51066622907777,4.06595165679525,-1.22216956987092e-14,1.18413495592236,3.41680903370973,2.80833232604055,1.4782881329362,1.04120000617923,-0.207932040461464,0.356684500891694,0.754015047084425,1.08382098409295,1.02409392963433,0.290554555653293,2.19457432339995,7.12350773301414,6.250643221547566
France,2.10446277124644,1.65551532926996,1.79648142095597,1.98288365089732,1.20394294026968,0.651126867833024,0.537141639134603,1.6759598872093,1.634780795496,1.9234122872706,2.09847219146922,2.14208964640241,1.74586936380482,1.67512449608725,1.48799805953857,2.81286194914789,0.0876204781574688,1.53112270420926,2.11159795174999,1.95419531613503,0.863715497861823,0.507758822937963,0.0375143805125534,0.183334861123878,1.03228275064672,1.85081508315492,1.10825492288292,0.476498852725089,1.64233141038392,5.22236748369723,4.878357265084446
Germany,4.47457627118645,2.6930564568462,1.70616113744075,1.4497255876566,1.93936919465145,0.911184539901882,0.585433617781281,1.44026832396175,1.98385685111349,1.4208067130733,1.03422339225272,1.66573608784666,1.54691075514875,1.57742924103119,2.29834058035317,2.62838306731439,0.312737722931263,1.10380856083584,2.07517293107759,2.00849118223387,1.50472226668799,0.906797035167938,0.51442101158706,0.491748624770773,1.5094965580161,1.73216766075661,1.44566701469762,0.144870534355058,3.06666666666666,6.87257438551099,5.946436677258295
Greece,14.4112677334119,10.8740794338332,8.93451397844176,8.19454859355109,5.53600312501777,4.76622558738949,2.63663843209496,3.15117752161276,3.37396640971281,3.62936293662934,3.53065079124997,2.89884797037117,3.54507304642513,3.19594597015618,2.89500101988337,4.15279636050494,1.21007395066187,4.71298158606682,3.32987017049401,1.50151977707713,-0.921271892644809,-1.31224241022506,-1.73590237199746,-0.825657589847188,1.12125902741744,0.625620508019237,0.25299274936364,-1.24797170753652,1.22382564684061,9.64526111793612,3.464801470405077
Hungary,22.4642409033877,18.8680791770829,28.3054645750732,23.4690313045815,18.3050773683867,14.1537895511405,9.99774390047379,9.80360785079527,9.11680911680911,5.26544821583986,4.66101694915255,6.74434679569466,3.56151711378355,3.93032603841001,7.95874516544907,6.04251253881061,4.2117117117117,4.85555795691953,3.92992098935076,5.65214517088648,1.73319984983108,-0.227566270988392,-0.0616446800641037,0.394769306686411,2.34824281150156,2.85024792594639,3.33858635382014,3.32674385766731,5.11096534382858,14.6081439492434,17.124965967873646
Iceland,4.04285016836068,1.5526572619998,1.65123187139611,2.26042114310272,1.81543116490166,1.65923724616149,3.23183110028419,5.13647447494691,6.40508556785875,5.19702311745273,2.05566174716793,3.1581953685487,3.98704844136883,6.68707370413332,5.05156384162694,12.694401929585476,12.003117050268289,5.396731637700901,4.001026165880448,5.1859003835655555,3.8722751255877657,2.044618950784621,1.6330584821002745,1.6969302393058805,1.7604127908546376,2.682915084678483,3.0139767958707826,2.8479186907620084,4.44424340451256,8.308754097045309,8.736305945089775
Ireland,1.469420174741879,2.309197651663401,2.5248661055853243,1.755747809624422,1.5417995876821775,2.40768094534715,1.629886052214042,5.577632699403908,4.852802796074726,4.628205128205166,3.492219090797654,2.1785460573052617,2.4565469293163145,3.9357611400135757,4.88574537540808,4.035688349413823,-4.447546868767466,-0.9183886453767166,2.548978302085513,1.694741166803593,0.5150994849005123,0.19091639871384555,-0.33095978337176846,0.02012477359630823,0.3621730382293497,0.47113071371291254,0.9378429611892811,-0.32618365128004045,2.3403411344704548,7.8294573643410885,6.299424874191218
Israel,10.9238178633975,12.2755081902507,9.93144665143257,11.4166933162776,8.96957520091845,5.49190043461084,5.18102372034957,1.03264094955489,1.1513157894737,5.77235772357723,0.702756121664634,-0.381637771235403,1.31348511383539,2.06352636127917,0.455170953741907,4.5521601685985,3.35617818988107,2.69137006338374,3.48494919760706,1.67920719398055,1.57025539211263,0.479786761439343,-0.60129100716243,-0.551552352993504,0.259414974505789,0.794075660242656,0.849783128264142,-0.614412358465727,1.51020047690542,4.39359665912649,4.2253521126760685
Italy,4.62673223066608,4.05184077476324,5.23542294004927,4.00698055537492,2.04310552039097,1.95508793969852,1.66345783596456,2.53768653889857,2.78516548463358,2.46532020412564,2.67255892255893,2.2067363530778,1.98529411764704,2.09084354722423,1.82973805855163,3.34783431057309,0.774768179599804,1.52551607240149,2.78063323594298,3.04136253041363,1.21999212908304,0.24105754276825,0.0387867504460633,-0.094021401985132,1.22653316645809,1.13748763600394,0.61124694376529,-0.137707573916583,1.87378325762494,8.20128991161716,5.6221944219589455
Japan,1.3,0.7,-0.1,0.1,1.8,0.6,-0.3,-0.7,-0.7,-0.9,-0.3,0,-0.3,0.3,0,1.4,-1.4,-0.7,-0.3,0,0.4,2.7,0.8,-0.1,0.484199796126371,0.989094598021837,0.468776159383876,-0.0249958340276704,NA,NA,NA
